,CVE_ENT,DOMINIO,SITUACION_CONYUGAL,MATERIAL_PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES,BIENES_DE_VIVIENDA,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRADO_ESCOLAR,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,VERIF_SITUACION_PAREJA,ENTREVISTADA_TRABAJA,PAREJA_TRABAJA,PAREJA_GANANCIAS,PAREJA_GANANCIAS_FRECUENCIA,PAREJA_APORTA_PARA_GASTO,PAREJA_CUANTO_APORTA_GASTO,LIBERTAD_USAR_DINERO,FUENTES_DE_DINERO,PROPIEDADES_DEL_HOGAR,NUM_EMBARAZOS,NACIO_VIV,NACIO_MUERT,ABORTO,ANIO_PARTO,MES_PARTO,DONDE_ATENDIO_PARTO,P10_8_abuso,P10_8_atencion,SERVICIOS_MEDICOS_AFILIADA,DONDE_CONSULTAS_PRENATALES
NUM_HOGARES,0.00016989947614334255,0.0006229647458586562,-0.0012317712020388338,0.002293642927934281,0.005988956534050671,0.0017131530511114378,0.0,0.00022653263485772346,0.00038227382132240975,0.018320826844117198,,0.0012176129123601998,0.020232195950729226,0.021053376752088293,0.0057114512471655885,0.006845088613044381,0.006555288121194968,0.004318278351975046,0.0,0.00014158289678602997,0.0008353390910378122,0.00018405776582195444,-0.00046021377672209594,5.663315871440311e-05,0.0,0.0,0.0,0.0,2.504657342208283e-05,0.00011326631742887283,0.0032847232054367794,0.0026759167492566684,4.247486903583564e-05,9.910802775026095e-05,0.0,0.0,0.008834772759450705,0.00760300155741187,-9.910802775023875e-05,0.0011609797536457744,0.0010760300155741476,9.910802775019434e-05,0.0006654396148944919
BIENES_DE_VIVIENDA,0.0606965878521875,0.08986266459011745,0.006399546934730216,0.0689508707348152,0.03691066119212796,0.15942234178111284,0.0,0.048676199915050254,0.03727877672377176,0.05497663882203028,0.0012034546226815657,,0.019963188446835665,0.10243522582472034,0.025269274376417284,0.025859223649278885,0.06619000424748689,0.04049270848081547,0.002435225824720444,0.01377601585728443,0.06378309500212372,0.03726461843409323,0.018171021377672215,0.02033130397847942,0.00045649072753208844,0.0002565251111452005,0.0049827520122652565,0.0006727965911639266,0.07056815132784644,0.06437774316862525,0.022653263485770948,0.17891830666855443,0.014299872575392914,0.006909245363160154,0.004417386379725352,0.012147812544244596,0.1412430978337817,0.11057624238991932,0.026461843409316167,0.026277785643494277,0.03095002123743453,0.023771768370380808,0.08235877106045586
PAREN,0.0025626504318279285,0.012615036103638655,0.05997451507857847,0.005167775732691471,0.04466940393600451,0.019212799093869436,1.4804153365469397,0.0013167209401104385,0.0024635424040776012,0.10220869318986266,0.07023927509556846,0.021959507291519166,,0.17418943791589972,0.1682397959183674,0.18517614981703376,0.01757043749115106,0.006357072065694425,0.0001415828967861188,0.0023219595072915046,0.010689508707348106,0.0020671102930766238,0.009382422802850354,0.03104912926518475,0.0,0.0,0.0,0.00035882484862079787,0.0023774797713149052,0.004997876256548217,0.012615036103638677,0.050063712303553734,0.004304120062296479,0.004148378875831771,0.0006229647458587007,0.006243805748265574,0.05101231771202044,0.02164802491858985,0.0070933031289820425,0.007404785501911348,0.005988956534050715,0.004077587427438712,0.010052385671810816
EDAD,0.020359620557836668,0.025329180235027525,0.0027750247770068626,0.015206003114823697,0.02419651706073902,0.06645901175138043,0.0,0.007560526688376079,0.01029307659634715,0.1055642078436925,0.01863230921704657,0.0459011751380433,0.06678465241398845,,0.030357142857142926,0.08854129296118245,0.04549058473736376,0.05320685261220439,0.0007928642220020432,0.02198782387087639,0.01810845249893809,0.005380150077870649,0.04602137767220903,0.021860399263768926,0.0004422253922967023,0.8840877188227779,0.0012840168646991224,0.0002392165657472134,0.01719246438502995,0.04432960498371803,0.026759167492566904,0.032535749681438464,0.016777573269149082,0.006357072065694469,0.001061871725895469,0.008948039076879466,0.07777148520458735,0.05945065836047007,0.0230213790174147,0.025428288262777855,0.020430412006229658,0.009967435933739143,0.028019255273962918
RES_MADRE,0.0008919722497523041,0.014115814809571003,0.0024635424040775123,0.0051111425739770455,0.006399546934730238,0.013577799801783952,0.0,0.0003256406626079622,0.0011609797536457523,0.03992637689367125,0.0006371230355372903,0.014002548492142131,0.1164377743168626,0.033243664165368815,,0.07862524216115374,0.007971117089055669,0.00370947189579498,0.0011468214639671847,0.0005521732974656413,0.00577658218887156,0.00087781396007367,0.0034144893111639264,0.0023927509556845193,7.132667617693045e-05,8.956587602557687e-05,0.0,0.0,0.0009006987721903003,0.0024635424040776233,0.01097267450092032,0.018816366982868482,0.003751946764830816,0.00021237434517911157,0.0,0.008579923545235712,0.027736089480390812,0.014200764547642653,0.014285714285714301,0.001939685685969117,0.003907687951295502,0.0036386804474019207,0.0332295058756902
RES_PADRE,0.0051394591533343355,0.006654396148945141,0.0016706781820755578,0.009599320402095412,0.005436783236584986,0.0122469205719949,0.0,0.0018547359478975124,0.0022511680588984894,0.06279201472462126,0.002279484638255691,0.009924961064703353,0.08739912218604,0.1349143423474444,0.07365362811791387,,0.01016565198923971,0.003440464391901421,-1.415828967861188e-05,0.001245929491717379,0.0036811553164377564,0.0030440322809005107,0.002508907363420465,0.003624522157723331,0.0,0.0,0.0,0.0,1.9434474807233926e-07,0.003199773467365197,0.002095426872433803,0.031148237292935012,0.0030157157015432644,0.0001415828967860744,0.0,0.00079286422200191,0.09791873141724483,0.012657510972674525,0.005450941526263664,0.022355939402520165,0.00409174571711739,0.0028741328047571456,0.011468214639671492
ESCOLARIDAD,0.030213790174147003,0.021633866628911202,-0.0010477134362169682,0.014016706781820765,0.010632875548633658,0.0327764406059748,0.0,0.004544810986832815,0.004757185332011882,0.04650998159422344,5.663315871444752e-05,0.06317428854594362,0.01472462126575116,0.18916890839586575,0.011607142857142904,0.01234124991031067,,0.4062721223276228,0.022398414271556023,0.025017697862098242,0.015121053376752092,0.0047288687526547465,0.01411817102137769,0.03635848789466232,4.2796005706136066e-05,0.00019446811045673585,0.0011881947106170854,0.00037377588397997653,0.0008788135339075298,0.026716692623531137,0.008679031572985996,0.04274387653971399,0.015616593515503329,0.0023078012176128925,0.0009486054084666629,0.0033413563641511825,0.05534475435367412,0.05714285714285716,0.016480249185898344,0.017839444995044595,0.01684836471754212,0.011411581480957046,0.04869035820472885
GRADO_ESCOLAR,0.02460710746141872,0.017301429987257498,0.0017981027891829982,0.01432818915475007,0.009967435933739166,0.051323800084949724,0.0,0.003298881495115413,0.005875690216621843,0.03468780971258669,0.000736231063287529,0.06112133654254561,0.006201330879229849,0.11411581480957096,0.007823129251700678,0.007576953433306999,0.35094152626362735,,0.007149936287696468,0.016409457737505306,0.017315588276936134,0.00395016282033136,0.010510688836104532,0.00874982302137899,0.0,6.64621264421461e-05,0.00045994633959371977,0.00017941242431041005,0.0016316845525016221,0.009755061588560144,0.008310916041342199,0.03624522157723344,0.019793288970692345,0.0008070225116805884,0.0004105904006796113,0.0034970975506158465,0.031657935721364903,0.045872858558686114,0.021138326490159988,0.010137335409882486,0.010392184624097434,0.01156732266742173,0.02531502194534896
ALFABETISMO,0.0,4.2474869035769026e-05,0.0012317712020387228,1.4158289678589674e-05,0.0,0.0009344471187880288,0.0,0.0001415828967860966,0.00035395724196518596,0.0006371230355373125,0.0,0.0011326631742885063,0.0021662183208268626,0.0012884043607531924,0.0007227891156463162,7.1751452966895e-05,0.012728302421067528,0.0027183916182924595,,0.0,5.663315871444752e-05,-1.4158289678589674e-05,0.000861045130641358,0.00035395724196518596,0.0,0.0,0.0,0.0,4.675065963155589e-06,0.0008494973807164242,0.00016989947614327595,0.0004955401387512603,2.831657935722376e-05,0.0,0.0,0.00014158289678600777,0.0019113691066119597,0.005068667704941266,0.0003964321110009994,0.00021237434517908937,0.0,0.00041059040067956685,0.0005380150077870516
ASISTENCIA_ESC,0.000212374345179156,0.002930765963471571,0.0018972108169332592,0.0016140450233611547,0.0003114823729292837,0.0009486054084666629,0.0,7.07914483930594e-05,9.910802775028315e-05,0.004176695455189017,0.0,0.007702109585162065,0.0035820472886876065,0.015347586011609793,0.0021683673469388375,0.00047355958958166243,0.011383264901599887,0.011539006088064529,0.0,,0.0012884043607531924,0.0,0.0004899049881235351,0.0006088064561800888,0.0,0.0,9.582215408199257e-05,0.0,0.0,0.0008778139600736923,0.004120062296474614,0.0038935296616168904,9.910802775026095e-05,0.0,0.0,0.00029732408325069406,0.00785785077162684,0.007857850771626795,-5.6633158714425315e-05,0.0011326631742885507,0.00152909528528955,0.001755627920147207,0.001854735947897468
