,CVE_ENT,SITUACION_CONYUGAL,MATERIAL_PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES,BIENES_DE_VIVIENDA,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRADO_ESCOLAR,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,VERIF_SITUACION_PAREJA,ENTREVISTADA_TRABAJA,PAREJA_TRABAJA,PAREJA_GANANCIAS,PAREJA_GANANCIAS_FRECUENCIA,PAREJA_APORTA_PARA_GASTO,PAREJA_CUANTO_APORTA_GASTO,LIBERTAD_USAR_DINERO,FUENTES_DE_DINERO,PROPIEDADES_DEL_HOGAR,NUM_EMBARAZOS,NACIO_VIV,NACIO_MUERT,ABORTO,ANIO_PARTO,MES_PARTO,DONDE_ATENDIO_PARTO,P10_8_abuso,P10_8_atencion,SERVICIOS_MEDICOS_AFILIADA,DONDE_CONSULTAS_PRENATALES
PAREJA_TRABAJA,0.00039696860339228924,0.023709852038975066,0.0019487549621075352,0.0,0.0008300252616384229,0.0,0.0,0.0,0.008877661494045518,0.00018044027426922238,0.0,0.0023818116203537356,0.004438830747022759,0.001300813008130053,0.0,0.001984843016961335,0.0,0.0001443522194153779,0.0,0.007253699025622495,0.0,0.005187319884726227,0.007001082641645629,,0.0,0.0,0.0011216399149101219,0.0,3.608805485384447e-05,0.0,0.0054132082280764935,0.00018044027426922238,0.0,0.0,0.0,0.0030313966077228248,0.009166365932876275,0.0,3.608805485384447e-05,0.0010826416456153343,0.0024900757849151576,0.00018044027426922238
PAREJA_GANANCIAS,0.11317214002165285,0.03590761457957414,0.09971129556116924,0.028653915553951626,0.024575965355467355,0.0,0.00927463009743772,0.0016600505232768237,0.22688560086611337,0.0017322266329844905,0.04590400577408875,0.024359437026344334,0.06903644893540244,0.011779584462511261,0.007524316388328134,0.10559364850234569,0.009202453987730074,0.0006856730422230451,0.009058101768314697,0.2496210754240346,0.0014074341392999346,0.043381364073006766,0.15153374233128838,0.20094511086877498,,0.467870770796235,0.014929414039837562,1.5183759696933739,0.024178996752075042,0.011981234211475988,0.13955250811981237,0.004402742692168915,0.005990617105737983,0.0018044027426921793,0.0027426921688920693,0.09094189823168526,0.12511728617827506,0.0033561891014074253,0.03439191627571274,0.021616744857452175,0.13504150126308193,0.02984482136412847
PAREJA_GANANCIAS_FRECUENCIA,0.037098520389750964,0.0006495849873691783,0.040310357271743036,0.003247924936845892,0.0073980512450378955,0.0,0.0,0.0,0.17827499097798633,0.0,0.0010104655359076454,0.00259833994947678,0.00476362324070736,0.0006504065040650708,3.670398238209138e-05,0.05730783110790327,0.004438830747022759,0.0,0.0,0.18076506676290147,0.0,0.01617675312199811,0.06925297726452548,0.0,0.0,,0.0,0.0,0.0011909058101768454,0.0027426921688920693,0.042944785276073594,0.0,0.0,0.0001443522194153779,0.00010826416456153343,0.028581739444243914,0.011079032840129944,0.0,0.0008661133164922675,0.0010104655359076454,0.054204258390472736,0.0021291952363767354
PAREJA_APORTA_PARA_GASTO,0.0,0.025261638397690335,0.0008300252616384229,0.0,0.00039696860339228924,0.0,0.0,0.0,0.018080115481775592,0.0,0.0,0.002057019126669135,0.0011548177553230231,0.00018066847335140857,0.0,0.0018404907975459572,0.0,0.0,0.0009743774810538009,0.003933597979068915,7.217610970768895e-05,0.007300672430355437,0.01429086972212199,3.635041802980687e-05,0.0,0.0,,0.0,0.00010826416456153343,0.0002887044388307558,0.003789245759653559,0.0,0.0,0.0,0.0,0.006820642367376362,0.001443522194153779,0.0,0.0001443522194153779,0.0,0.004907975460122738,0.0
PAREJA_CUANTO_APORTA_GASTO,0.05413208228076507,0.009815950920245387,0.06362324070732588,0.004980151569830405,0.017791411042944794,0.0,0.0006856730422230451,0.003247924936845892,0.10396968603392283,0.0017322266329844905,0.020389750992421508,0.022627210393359843,0.034969325153374295,0.005998193315266476,0.00774454028262066,0.03951642006495846,0.0036088054853843365,7.217610970768895e-05,0.005485384337784183,0.0801515698303861,0.0010826416456153343,0.021594620557156597,0.04121255864308917,0.0,0.0,0.06196896464004069,0.10249468187971378,,0.023709852038975087,0.003933597979068937,0.11198123421147599,0.0015156983038614679,0.003211836881992047,0.002814868278599758,0.003933597979068937,0.059328762179718456,0.0909058101768315,0.007289787080476362,0.01883796463370624,0.020858895705521484,0.07029953085528691,0.01212558643089139
LIBERTAD_USAR_DINERO,0.0014074341392999346,0.0015517863587152236,0.005593648502345694,0.002634428004330536,0.002634428004330558,0.0,0.0,0.0,0.008588957055214763,0.0,0.0001443522194153779,0.003753157704799737,0.0007578491519307339,0.0006142728093947669,0.0,0.0024178996752074688,0.0,0.0022013713460844464,0.0,0.00999639119451461,0.0001443522194153779,0.004534101825168113,0.04749188018765791,0.0,0.0,0.0,0.0,0.0,,0.0,0.028509563334536293,0.0,0.0,0.0,0.0,0.001984843016961335,0.010068567304222365,0.0,0.0025261638397690244,0.00036088054853844476,0.014507398051245035,0.0028509563334536024
FUENTES_DE_DINERO,0.005846264886322605,0.0014796102490075348,0.002814868278599758,0.0,0.00021652832912306686,0.0,0.0,0.0,0.004655359076145826,0.0,0.0,0.0006495849873692005,0.010321183688199254,7.226738934056343e-05,0.0,0.008841573439191586,0.0,0.0,0.0013352580295922455,0.0029231324431612917,0.0009382894261999563,0.0005379442843419735,0.0012269938650307122,0.0,0.0,0.0,0.0,0.420421399256495,0.001299169974738401,,0.0044388307470227375,0.0,0.0,0.0,0.00018044027426922238,0.0012991699747383124,0.0036809815950920475,0.0,0.0001443522194153779,0.00018044027426922238,0.00371706964994587,0.0001443522194153779
PROPIEDADES_DEL_HOGAR,0.03226272103933599,0.002814868278599758,0.03204619271021294,0.00043305665824613373,0.002887044388307447,2.260539862241184,0.00021652832912306686,0.004114038253338159,0.007289787080476407,0.0,0.11844099603031397,0.01623962468422955,0.01663659328762186,0.0009394760614272358,0.0026426867315103796,0.01169252977264521,0.0,0.0009022013713461119,0.0006856730422230451,0.05626127751714181,0.0005052327679538227,0.08722382324687802,0.0353302057019127,0.0005089058524172963,0.0,0.000559654032052892,0.00011603171533551837,0.0,0.06358715265247203,0.00036088054853844476,,0.00032479249368460027,0.0007578491519307339,0.0006495849873692005,0.00025261638397691135,0.008228076506676252,0.03883074702273552,0.0010104655359076454,0.005124503789245782,0.0017322266329844905,0.022121977625405975,0.006171057380007205
NUM_EMBARAZOS,0.0,0.003933597979068937,0.010104655359076143,0.0007939372067845785,0.0006495849873692005,0.0,0.0,0.0,0.0056658246120534494,0.0,0.0009022013713461119,0.002273547455792202,0.015590039696860392,0.00018066847335140857,0.00011011194714627415,0.007542403464453229,0.0,0.0,0.00021652832912306686,0.007903284012991674,7.217610970768895e-05,0.0013448607108549559,0.002670516059184447,0.0,0.0,0.0,0.0,0.0,0.00010826416456153343,0.00018044027426922238,0.008191988451822452,,0.2835799350415013,0.007073258751353295,0.1917719234933237,0.0373872248285817,0.008625045110068608,0.0012630819198845566,0.001443522194153757,0.0012269938650307122,0.012522555034283633,0.0013352580295922455
NACIO_VIV,0.0006495849873692005,0.0029953085528689805,0.002093107181522913,0.0,0.0010104655359076454,0.0,0.0,0.0,0.1339227715626128,0.0005052327679538227,0.0002887044388307558,0.005557560447491916,0.002670516059184491,0.001047877145438103,7.340796476418276e-05,0.0027787802237459135,0.00036088054853844476,0.0,0.0,0.009996391194514587,0.0,0.003035542747358333,0.0027426921688921357,0.0,0.0,0.0,0.0,0.0,0.00018044027426922238,0.0005774088776615116,0.006387585709130295,0.2671237820281487,,0.021688920967159863,0.13356189101407437,0.07495488993143265,0.014363045831829702,0.0001443522194153779,0.0009382894261999563,0.00010826416456153343,0.019559725730783108,0.0002887044388307558
