,CVE_ENT,SITUACION_CONYUGAL,MATERIAL_PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES,BIENES_DE_VIVIENDA,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRADO_ESCOLAR,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,VERIF_SITUACION_PAREJA,ENTREVISTADA_TRABAJA,PAREJA_TRABAJA,PAREJA_GANANCIAS,PAREJA_GANANCIAS_FRECUENCIA,PAREJA_APORTA_PARA_GASTO,PAREJA_CUANTO_APORTA_GASTO,LIBERTAD_USAR_DINERO,FUENTES_DE_DINERO,PROPIEDADES_DEL_HOGAR,NUM_EMBARAZOS,NACIO_VIV,NACIO_MUERT,ABORTO,ANIO_PARTO,MES_PARTO,DONDE_ATENDIO_PARTO,P10_8_abuso,P10_8_atencion,SERVICIOS_MEDICOS_AFILIADA,DONDE_CONSULTAS_PRENATALES
CVE_ENT,,0.05296362248791651,0.20193335029254644,0.16667514627321295,0.2538285423556347,0.0,0.157313660646146,0.2641058254896973,0.21989315695751716,0.013126430933604683,0.32058000508776396,0.08511829051132028,0.24685830577461204,0.07540733197556007,0.12725404572309273,0.17440854744339862,0.12597303485118289,0.004324599338590663,0.022182650725006425,0.24156703128974816,0.0625794963113711,0.25005330490405114,0.1643856525057237,0.008061617458279846,0.0,0.06513513513513516,0.0024737832750739487,1.5120956612034593,0.18590689392012213,0.136301195624523,0.35176799796489444,0.03424065123378275,0.04222844060035613,0.01500890358687359,0.027372169931315193,0.3263800559654032,0.45917069447977604,0.15492241160010176,0.13965911981684048,0.1332485372678708,0.2606461460188247,0.1981175273467311
SITUACION_CONYUGAL,5.087763927753563e-05,,0.00010175527855507127,0.0008140422284405924,0.0010684304248282483,0.0,0.0,0.0,0.014449249554820654,0.0,0.0019333502925464653,0.19465784787585855,0.003052658356652249,0.0029531568228105876,0.0009247367069098233,0.0,0.0,0.0,0.002391249046044286,0.022131773085728824,0.0,0.0026119402985074645,0.04848639023149322,0.07198973042362003,0.0,0.0,0.02269427265393924,0.0,0.004070211142203029,0.0021877384889341434,0.006715848384634992,0.0035614347494276055,0.0008140422284405701,0.0,0.0,0.001322818621215971,0.0,0.0,0.00432459933859064,0.004629865174255965,0.0024421266853218216,0.0
MATERIAL_PISOS,0.01887560417196643,0.005240396845586326,,0.0002543881963876782,0.00040702111422028506,0.0,0.03200203510557109,0.002543881963876893,0.00020351055711014253,0.0,0.0,0.00035614347494274947,0.0002543881963876782,0.0,0.0,0.0014245738997710421,0.0,0.0,0.0012210633426609663,0.0,0.00035614347494274947,0.0,0.0006614093106079632,0.0,0.0,0.0,0.0,0.0,0.0010175527855508237,0.0,0.0004578987534978207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041719664207580335,0.0024421266853218216,0.0008649198677182168,0.0
CUARTOS_DORMIR,0.0001526329178326069,0.00686848130246751,0.0017807173747138362,,0.39572627830068685,0.0,0.0006105316713304276,0.0011701857033833197,0.1865683032307301,0.009310607987789354,0.0003052658356652138,0.009819384380564733,0.0002543881963876782,0.00020366598778005508,0.00015412278448498907,0.003917578224370377,0.00020351055711014253,0.00010175527855507127,0.0018315950139913939,0.00020351055711014253,0.00010175527855507127,0.0,0.0023912490460442637,0.0,0.0,0.0,0.0,0.0,0.000305265835665236,0.0,0.0034088018315950206,0.0017807173747138362,0.0001526329178326069,0.0,0.0,0.0001526329178326069,0.0,0.00010175527855507127,0.0037140676672602125,0.002493004324599357,0.0010684304248283593,0.0
CUARTOS_TOTAL,0.016433477486644633,0.011549224116000966,0.0005087763927753564,0.35278555075044526,,0.0,0.0017807173747138362,0.001322818621215971,0.0007631645891630345,0.0010175527855507127,0.0012210633426608774,0.006410582548969734,0.0012210633426608998,0.0010183299389002088,0.0012329822758798015,0.0002543881963876782,0.0037140676672602125,0.00035614347494274947,0.004019333502925537,0.006563215466802341,0.0017807173747137472,0.0006929637526652543,0.008445688120071205,0.0012323491655969131,0.0,0.0,5.3777897284224e-05,0.020247747250401748,0.004121088781480586,0.0001526329178326069,0.00768252353090817,0.0004578987534978207,0.0012719409819384353,0.002849147799542107,0.00040702111422028506,0.002849147799542107,0.015670312897481598,0.0038158229458152837,0.02335283642838968,0.021572119053675953,0.006003561434749449,0.002849147799542107
FOCOS,0.001475451539048578,0.017756296107860513,0.08644110913253626,0.06491986771813792,0.27713050114474685,,0.03932841516153651,0.004731620452810992,0.0006105316713304276,0.00020351055711014253,0.1500890358687357,0.016738743322309825,0.0071737471381327685,0.0031568228105906425,0.0016439763678397056,0.02426863393538543,0.0019842279318239785,0.00020351055711014253,0.0023403714067667504,0.018773848893411337,0.0031544136352073203,0.0005863539445629007,0.0038667005850928195,0.0005134788189987471,0.0,0.000540540540540535,0.0,0.52549816182668,0.0020351055711015364,0.0013736962604935065,0.041872297125413384,0.0,0.0003052658356652138,0.0,0.0005087763927753564,0.0023403714067667504,0.005189519206308857,0.0012210633426608774,0.028644110913253584,0.008750953955736506,0.033223098448232034,0.027830068684813036
AGUA,0.044619689646400396,0.002696514881709433,0.03668277791910455,0.0,0.0,0.0,,0.07260239124904602,0.0,0.00035614347494274947,0.014958025947596033,0.0002543881963876782,0.0,0.00015274949083505797,0.0005137426149499635,0.0007122869498854989,0.0,0.0005087763927753564,0.0002543881963876782,0.009768506741287175,0.0002543881963876782,0.0,0.002594759603154406,0.0,0.0,0.0,0.0,0.315444535492644,0.0025947596031544286,0.0008649198677181058,0.0011701857033833863,0.0,0.0,0.0,0.0002543881963876782,0.00010175527855507127,5.087763927753563e-05,0.0,0.0017298397354362338,0.0019842279318240006,0.0009157975069957524,0.0010684304248282706
DRENAJE,0.12953446960061055,0.0004578987534977763,0.003357924192317463,0.00010175527855507127,0.0,0.0,0.04385652505723736,,0.00020351055711014253,0.0,0.0,0.0,5.087763927753563e-05,0.00010183299389003864,0.0,0.0,0.0,0.0,0.0,0.0005087763927753564,0.0063597049096921765,0.0,0.0010684304248282483,0.0,0.0,0.0,0.0,0.0,0.0002543881963876782,0.000559654032052892,0.0002543881963876782,0.0002543881963876782,0.0,0.0,0.0,0.0001526329178326069,0.0,0.0,0.0031544136352072982,0.0007631645891631456,0.0001526329178326069,0.0
NUM_RESIDENTES,0.006664970745357412,0.0213686084965657,0.008293055202238641,0.20864919867718137,0.002747392520987035,0.0,0.0017807173747138362,0.0018315950139913939,,0.046247774103281625,0.0052403968455863705,0.08303230730094122,0.08903586873569062,0.0325356415478615,0.021012072951451334,0.016026456372424325,0.009666751462732104,0.00010175527855507127,0.0045281098957008934,0.004324599338590684,0.0023403714067667058,0.002078891257995741,0.012210633426608997,0.00025673940949937356,0.0,0.0017567567567567499,0.0005377789728421512,0.3523679247312406,0.017145764436530198,0.05942508267616382,0.019486135843296882,0.004731620452810992,0.028287967438310878,0.0023403714067667504,0.0036123123887051634,0.0050368862884762056,0.011345713558890847,0.0036123123887051413,0.033070465530399384,0.028847621470363814,0.025794963113711565,0.005240396845586392
NUM_HOGARES,0.0,0.0001526329178325625,0.0005087763927753564,0.0006614093106079855,0.0,0.0,0.0002543881963876782,0.0,0.021012465021622996,,0.0,0.022589671839226666,0.004629865174255921,0.0006619144602851401,0.008322630362188544,0.0,0.0,0.0,0.0002543881963876782,0.002900025438819642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010175527855507127,0.00045789875349790956,0.0,0.0
