,CVE_ENT,SITUACION_CONYUGAL,MATERIAL_PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES,BIENES_DE_VIVIENDA,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRADO_ESCOLAR,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,VERIF_SITUACION_PAREJA,ENTREVISTADA_TRABAJA,PAREJA_TRABAJA,PAREJA_GANANCIAS,PAREJA_GANANCIAS_FRECUENCIA,PAREJA_APORTA_PARA_GASTO,PAREJA_CUANTO_APORTA_GASTO,LIBERTAD_USAR_DINERO,FUENTES_DE_DINERO,PROPIEDADES_DEL_HOGAR,NUM_EMBARAZOS,NACIO_VIV,NACIO_MUERT,ABORTO,ANIO_PARTO,MES_PARTO,DONDE_ATENDIO_PARTO,P10_8_abuso,P10_8_atencion,SERVICIOS_MEDICOS_AFILIADA,DONDE_CONSULTAS_PRENATALES
CVE_ENT,,0.05222437137330753,0.16582849774339137,0.09718461207822908,0.26438856651622605,0.0,0.28953363421448525,0.3336342144852783,0.20881151944981732,0.008424672254459508,0.31622609069417584,0.09705566301310979,0.2683430045132173,0.07679070767907081,0.11055495103373232,0.206060606060606,0.10535138620245006,0.0032667096496883817,0.018267784225231055,0.2488287126584999,0.0963249516441006,0.2765448504983389,0.11497958306468944,0.0034176941380056336,9.574787627862273,0.05692524682651621,0.006507688878983698,0.0,0.16750483558994197,0.1479905437352246,0.2862669245647969,0.032065334192993754,0.03382763808295726,0.015001074575542672,0.01856866537717603,0.34021061680636155,0.4143993122716528,0.1562862669245648,0.13200085966043418,0.1233182892757361,0.3243498817966903,0.24629271437782077
SITUACION_CONYUGAL,0.0022351171287341653,,0.0,0.0,0.014442295293359076,0.0,0.0016763378465505685,0.0006447453255964186,0.014098431119707721,0.00017193208682568794,0.00021491510853210993,0.15224586288416073,0.002707930367504896,0.002624220262422061,0.00017410228509247007,0.0019342359767891225,0.0,0.0,0.00025789813023853193,0.00038684719535779787,0.00012894906511926597,0.0,0.02355469589512147,0.05135193597231236,0.0,0.006995768688293391,0.02010251838644974,0.0,0.00829572318934022,0.00021491510853210993,0.0012035246077799267,0.0022351171287341653,8.596604341284397e-05,0.0,0.0,0.005029013539651883,0.0009026434558349506,0.0,0.0006877283473028628,0.0006017623038899967,0.010659789383193674,0.00021491510853210993
MATERIAL_PISOS,0.004470234257468309,0.0029228454760369393,,0.0,0.010101010101010032,0.0,0.03610573823339776,0.0072211476466795595,0.00378250591016549,0.0,0.005114979583064683,0.002321083172146965,0.0006877283473028628,0.00030114003011405543,0.0,0.0024930152589726752,0.00025789813023853193,0.0,0.0,0.0,0.0,0.0,0.028798624543305416,0.0,0.0,0.0,0.0,0.0,0.0013754566946056368,0.00030088115194495393,0.001461422738018503,0.0,0.0,0.0,0.002063185041908433,0.0006877283473028628,0.00021491510853210993,0.0,0.004857081452826173,0.00047281323877066404,0.015173006662368404,0.00034386417365137587
CUARTOS_DORMIR,8.596604341284397e-05,0.004986030517945416,0.0,,0.457425316999785,0.0,0.003567590801633269,0.00012894906511926597,0.17223296797764884,0.006275521169138187,4.2983021706421984e-05,0.02355469589512138,0.003997421018697667,0.0012045601204560663,0.00043525571273119736,0.004599183322587552,4.2983021706421984e-05,8.596604341284397e-05,0.00025789813023853193,0.0,0.0,0.0,0.0027079303675048736,0.0,11.11858793722711,5.641748942171176e-05,0.0,0.0,0.0070921985815603165,0.0,0.00025789813023859855,0.0007736943907156845,0.0,0.0,8.596604341284397e-05,0.0004298302170642865,0.0,0.0,0.0021921341070277657,0.00017193208682568794,0.008940468514936618,0.00025789813023853193
CUARTOS_TOTAL,0.01676337846550611,0.015130023640661915,0.005415860735009681,0.3456264775413712,,0.0,0.0058886739737803225,0.005716741886954635,0.007178164624973138,0.0015903718031377468,0.005587792821835347,0.01255104233827633,0.004599183322587597,0.0011185201118520504,0.0012187159956474013,0.010573823339780719,0.0025789813023855634,0.0,0.0008166774124221066,0.003137760584569116,0.0003438641736513981,0.0013289036544850141,0.010444874274661542,0.000389357560025938,0.0,0.000338504936530315,0.0,0.0,0.023726627981947135,0.0005587792821835303,0.007006232538147428,0.00030088115194495393,0.00047281323877068626,0.002407049215559831,0.0005157962604771082,0.008424672254459531,0.0012035246077799044,0.0005157962604771304,0.00808080808080811,0.006060606060606055,0.027595099935525513,0.004126370083816911
FOCOS,0.015387921770900492,0.015817751987964757,0.06718246292714376,0.022480120352460786,0.2845046206748334,,0.04698044272512354,0.024973135611433484,0.022136256178809387,0.0005157962604771082,0.19454115624328389,0.017451106812808904,0.027165269718461227,0.010367821036782132,0.0006093579978237118,0.026176660219213367,0.0038254889318719123,0.0006017623038899744,0.00047281323877068626,0.006619385342789585,0.00017193208682568794,0.021926910299003333,0.02535998280679135,0.0,0.0,0.00039492242595204894,0.0,0.0,0.036922415645819925,0.00017193208682568794,0.010917687513432228,0.00012894906511926597,0.0008596604341285508,0.0,0.006576402321083164,0.02213625617880941,0.028153879217709,0.0003868471953578201,0.013883516011175656,0.004083387062110466,0.11910595314850636,0.0039974210186975775
AGUA,0.04779712013754567,0.0010315925209542164,0.03253814743176444,0.0,0.006189555125725277,0.0,,0.13449387491940684,0.001547388781431347,0.0,0.008940468514936618,0.01147646679561567,0.002664947345798474,0.00064530006453003,0.00039173014145810203,0.011734364925854246,0.0024070492155598535,0.00030088115194495393,4.2983021706421984e-05,0.0022781001504405874,0.00021491510853210993,0.0011960132890365127,0.0021491510853213214,0.0,0.0,0.0001692524682651353,0.0,0.0,0.013754566946056323,0.0005157962604771304,0.0005157962604771304,0.00030088115194495393,0.00021491510853210993,0.00017193208682568794,0.00012894906511926597,0.005587792821835413,0.00017193208682568794,0.0008166774124221288,0.0012465076294863931,0.0006877283473028406,0.018740597464001762,0.0012035246077799267
DRENAJE,0.10969267139479903,0.004470234257468309,0.0072211476466795595,0.0,0.0061035890823124325,0.0,0.08613797549967758,,0.0015473887814313248,0.0,0.0008166774124221288,0.003223726627981893,0.0008166774124221288,0.00012906001290602376,0.0,0.0037395228884590237,0.0,0.0005157962604771082,0.0,0.00017193208682568794,0.0013324736728991926,4.4296788482833804e-05,0.005200945626477571,0.0,0.0,0.0,0.0,0.0,0.005501826778422547,0.0027079303675048515,0.0021491510853213214,0.0,0.0,0.0,0.00012894906511926597,0.0010745755426606828,0.00025789813023853193,0.00034386417365137587,0.0012465076294863931,0.00030088115194495393,0.013109821620459972,0.00012894906511926597
NUM_RESIDENTES,0.010058027079303677,0.01934235976789167,0.00666236836449603,0.1793251665592091,0.013582634859230548,0.0,0.010788738448312874,0.0027079303675048294,,0.025188050719965594,0.003309692671394804,0.09301525897270572,0.16067053513862029,0.016992901699290196,0.02015233949945594,0.03606275521169133,0.011992263056092845,0.0008166774124221066,0.0030947775628626718,0.005200945626477526,0.0007307113690092626,0.005891472868217051,0.01680636148721255,0.0,0.0,0.00011283497884342352,0.0,0.0,0.0451751558134537,0.0794756071351816,0.005200945626477593,0.009370298732000838,0.04169353105523319,0.0031377605845690935,0.004255319148936176,0.018955512572533872,0.007865892972275957,0.003696539866752646,0.013066838598753527,0.013797549967762723,0.0440146142273802,0.0061035890823124776
NUM_HOGARES,0.0,0.0007736943907156402,0.0,0.0,0.0006017623038899079,0.0,0.0,0.0,0.00739307973350527,,0.0,0.019213410702772337,0.0057167418869547015,0.0041729404172940795,0.0043525571273123065,8.596604341284397e-05,0.0,0.0,0.0,4.2983021706421984e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2983021706421984e-05,0.0,0.0,0.0,0.0,0.0,4.298302170644419e-05,0.0,0.0,0.0,0.0,0.0009026434558349727,0.0005587792821835525
