,DOMINIO,T_INSTRUM,ESTRATO,PISOS,P1_2,P1_2_A,FOCOS,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P1_4_7,P1_4_8,P1_4_9,AGUA,DRENAJE,P1_7,P1_9,P1_10_1,P1_10_2,P1_10_3,P1_10_4,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRA,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,LENG_ESPAÑOL,TRABAJO,P2_14,P2_15,P10_1,P10_3,NACIO_VIV,NACIO_MUERT,ABORTO,P10_5,P10_6ANIO,P10_6MES,P10_8_abuso,P10_8_atencion,P10_7
277,0,4,1,1,2,5,6,1,1,0,0,1,1,1,1,0,0,0,6,1,,,,,2,2,1.0,1.0,2,2.0,1,0,2.0,0,,1,,2.0,0,0,1,0,0,2,2,10,0,1,1
278,0,0,1,1,4,6,6,1,1,0,0,1,0,1,1,0,0,0,10,1,,,,,3,0,2.0,2.0,1,2.0,1,0,2.0,0,,1,,4.0,5,0,1,0,1,4,5,4,0,0,4
279,0,0,1,2,2,3,5,0,1,0,0,1,1,1,0,0,0,0,5,1,,,,,1,2,2.0,2.0,1,5.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,4,1,0,0,0,4
280,0,0,1,2,3,4,8,1,1,1,1,1,1,1,0,1,0,0,11,1,,,,,2,1,1.0,1.0,1,2.0,1,0,2.0,0,,0,10.0,,2,0,1,0,0,0,4,8,0,0,4
281,0,2,1,2,3,4,8,1,1,0,0,1,1,1,1,1,0,0,7,1,,,,,3,1,2.0,2.0,1,5.0,1,0,2.0,0,,1,,1.0,8,1,2,0,0,4,3,6,0,0,4
282,0,1,1,1,3,3,5,0,1,0,0,1,1,1,0,0,0,0,8,1,,,,,2,0,1.0,1.0,1,2.0,1,0,0.0,0,,0,10.0,,5,1,2,0,0,4,5,9,0,0,4
283,0,2,1,2,2,4,5,1,1,0,0,1,1,1,0,0,0,0,5,1,,,,,2,3,1.0,1.0,1,2.0,1,0,2.0,0,,0,1.0,4.0,8,0,1,0,0,4,3,9,0,0,4
284,0,4,1,1,3,4,5,0,1,0,0,1,1,0,1,0,0,0,8,1,,,,,2,0,2.0,1.0,1,4.0,1,0,2.0,0,,0,4.0,1.0,5,0,1,0,0,0,3,11,1,0,4
285,0,0,1,1,3,4,5,0,1,0,0,1,1,1,1,0,0,0,4,2,0.0,1.0,0.0,0.0,1,0,2.0,1.0,1,0.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,4,4,0,1,1,4
288,0,0,1,1,1,2,3,0,1,0,0,1,1,0,0,0,0,0,4,1,,,,,1,2,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,8,1,2,0,0,4,3,11,1,0,4
289,0,0,1,2,2,3,8,0,1,0,0,1,1,1,1,1,0,0,6,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,4,5,5,0,0,0
290,0,0,1,1,1,2,2,1,1,0,0,1,1,0,0,0,0,0,4,1,,,,,1,2,2.0,2.0,4,3.0,1,0,0.0,0,,0,10.0,,8,1,2,1,0,4,3,5,0,1,4
292,0,0,1,2,3,7,9,1,1,1,0,1,1,1,1,1,0,0,6,1,,,,,2,2,1.0,1.0,1,2.0,1,0,0.0,0,,0,10.0,,8,0,1,0,0,4,2,11,0,0,4
312,0,0,2,1,2,4,8,0,1,0,0,1,1,1,1,1,0,0,5,1,,,,,1,2,3.0,3.0,2,2.0,1,0,2.0,0,,0,10.0,,0,1,2,0,0,1,3,1,0,0,1
324,0,0,1,1,3,4,4,1,1,0,0,1,1,1,0,0,0,0,6,1,,,,,1,1,2.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,8,0,1,0,0,0,4,6,0,0,4
328,0,2,1,2,1,4,6,1,1,0,0,1,1,1,0,0,0,0,2,1,,,,,0,2,2.0,2.0,1,2.0,1,1,1.0,0,,1,,1.0,8,0,1,0,0,0,5,2,0,0,4
332,0,0,1,2,1,3,4,0,1,1,0,1,1,1,0,1,0,0,3,1,,,,,1,1,2.0,3.0,4,1.0,1,1,2.0,0,,1,,1.0,0,0,1,0,0,1,5,4,1,1,1
337,0,0,1,1,2,5,5,1,1,0,1,1,1,1,1,0,0,0,6,1,,,,,0,3,2.0,2.0,1,5.0,1,0,0.0,0,,1,,4.0,8,1,2,0,0,4,3,9,0,0,4
338,0,4,1,2,2,3,5,0,1,0,0,1,1,1,0,0,0,0,4,1,,,,,3,2,2.0,3.0,1,2.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,4,4,0,0,1
343,0,2,1,2,3,6,8,0,1,0,1,1,1,1,1,1,0,0,8,1,,,,,2,1,1.0,1.0,2,2.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,4,2,0,0,0,4
346,0,0,1,2,2,4,9,1,1,1,1,1,1,1,1,1,0,0,4,1,,,,,1,3,2.0,2.0,4,4.0,1,0,2.0,0,,1,,1.0,3,0,1,0,0,1,1,11,1,1,1
347,0,0,1,2,2,3,9,1,1,1,0,1,1,1,1,1,0,0,4,1,,,,,1,2,2.0,2.0,4,4.0,1,0,0.0,0,,1,,1.0,5,0,1,0,0,4,0,11,0,0,4
351,0,2,1,1,6,10,10,1,1,1,0,1,1,1,1,1,0,0,7,1,,,,,2,4,1.0,3.0,1,2.0,1,0,,0,,1,,1.0,0,0,1,0,0,4,0,5,0,0,4
354,0,0,1,2,1,2,5,0,1,0,0,1,1,1,0,0,0,0,4,1,,,,,1,2,2.0,3.0,1,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,6,5,4,0,0,1
356,0,0,1,2,3,5,6,1,1,1,1,1,1,1,1,1,0,0,6,1,,,,,3,3,3.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,5,0,1,0,0,4,4,0,0,0,0
357,0,0,1,1,4,5,7,0,1,0,1,1,1,1,1,1,0,0,7,1,,,,,1,3,2.0,2.0,1,5.0,1,0,0.0,1,1.0,0,10.0,,5,0,1,0,0,4,3,9,0,0,4
358,0,0,1,2,4,5,10,1,1,0,0,1,1,1,0,0,0,0,6,1,,,,,0,5,2.0,3.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,4,0,1,1,2,8,0,0,1
359,0,0,2,1,2,3,6,0,1,0,0,1,1,1,0,0,0,0,11,1,,,,,1,4,3.0,3.0,1,2.0,1,0,0.0,0,,0,10.0,,0,1,1,0,1,1,5,8,0,0,1
360,0,0,1,1,2,4,4,0,1,0,0,1,1,1,0,0,0,0,4,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,0,1,2,0,0,1,1,0,0,0,1
361,0,0,1,2,2,4,20,1,1,0,1,1,1,1,0,0,0,0,5,1,,,,,3,1,2.0,2.0,2,2.0,1,1,2.0,0,,0,8.0,,8,0,1,0,0,0,4,2,0,0,4
362,0,3,1,2,3,4,11,1,1,0,1,1,1,1,1,1,0,0,6,1,,,,,3,2,2.0,3.0,1,2.0,1,0,2.0,0,,1,,1.0,8,1,2,0,0,4,2,5,0,0,1
363,0,0,2,2,2,5,7,1,1,0,1,1,1,1,1,1,0,0,4,1,,,,,1,4,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,1,10,0,0,4
364,0,3,1,2,3,5,4,0,1,0,0,1,1,0,0,0,0,0,7,1,,,,,0,2,2.0,3.0,1,5.0,1,0,0.0,0,,0,10.0,,8,1,2,0,0,0,3,0,0,0,4
365,0,0,1,1,3,4,8,0,1,0,0,1,1,1,0,0,0,0,5,1,,,,,1,0,2.0,3.0,1,2.0,1,0,0.0,0,,1,,1.0,0,0,2,0,0,1,2,11,0,0,1
366,0,0,1,2,2,5,6,1,1,0,0,1,1,1,1,0,0,0,5,1,,,,,1,3,3.0,2.0,2,2.0,1,0,0.0,0,,1,,1.0,0,0,1,0,0,1,2,7,0,0,1
369,0,0,2,2,2,3,6,1,1,1,0,1,1,1,1,1,0,0,4,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,0,2,2,0,0,0
370,0,0,2,1,1,3,4,0,1,0,0,1,1,0,1,0,0,0,5,1,,,,,1,1,2.0,2.0,1,2.0,1,0,2.0,0,,0,2.0,1.0,0,1,2,0,0,1,5,1,1,1,1
371,0,0,2,2,3,5,12,1,1,0,1,1,1,1,1,1,0,0,6,1,,,,,1,3,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,5,2,3,0,0,0,4,2,0,0,4
372,0,0,1,1,2,4,7,1,1,0,0,1,1,1,1,0,0,0,4,1,,,,,1,3,2.0,2.0,4,3.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,1,7,0,0,4
373,0,0,1,2,2,3,8,1,1,0,0,1,1,1,0,0,0,0,6,1,,,,,1,2,2.0,2.0,2,2.0,1,0,0.0,0,,0,10.0,,8,2,3,0,0,0,5,9,0,0,4
374,0,0,1,1,3,3,4,1,1,0,0,1,1,1,1,1,0,0,8,1,,,,,1,4,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,3,10,0,0,4
375,0,0,2,1,1,2,4,1,1,0,0,1,1,1,0,0,0,0,4,1,,,,,0,2,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,0,2,2,0,0,1,4,2,0,0,1
376,0,0,1,2,2,3,6,1,1,0,0,1,1,1,1,0,0,0,5,1,,,,,1,5,2.0,2.0,1,2.0,1,0,2.0,0,,1,,2.0,0,1,1,0,1,1,3,1,0,0,1
378,0,2,2,2,4,5,5,1,0,0,0,1,1,1,1,1,0,0,10,1,,,,,3,1,2.0,2.0,4,2.0,1,1,2.0,0,,0,8.0,,0,0,1,0,0,0,3,2,0,1,0
379,0,0,2,2,2,3,7,0,1,1,0,1,1,1,1,0,0,0,3,1,,,,,1,1,2.0,2.0,4,4.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,0,1,4,0,1,4
382,0,1,1,1,2,3,3,1,1,0,0,0,1,1,0,0,0,0,5,1,,,,,3,1,3.0,3.0,1,2.0,1,0,2.0,0,,0,10.0,,8,1,2,0,0,0,2,4,0,0,4
383,0,0,1,1,1,3,4,1,1,0,0,1,1,1,0,0,0,0,4,1,,,,,0,1,3.0,3.0,1,2.0,1,0,2.0,0,,0,10.0,,8,1,2,0,1,4,5,0,0,1,0
384,0,0,1,2,2,5,9,1,1,0,1,1,1,1,1,1,0,0,3,1,,,,,0,2,2.0,2.0,4,6.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,4,0,3,1,0,4
399,0,0,1,1,2,4,4,1,1,0,0,1,0,0,0,0,0,0,5,1,,,,,2,0,3.0,1.0,1,5.0,1,1,2.0,0,,0,8.0,,5,1,1,0,1,0,4,2,1,0,4
400,0,0,1,2,3,4,6,1,1,1,0,1,1,1,1,1,0,0,5,1,,,,,1,5,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,3,0,1,0,0,3,1,11,0,0,3
401,0,0,1,1,2,3,5,1,1,1,0,1,1,1,0,0,0,0,6,1,,,,,3,0,2.0,2.0,1,1.0,1,0,2.0,0,,0,10.0,,5,0,1,0,0,4,5,9,0,1,4
410,0,0,1,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,3,1,,,,,1,0,2.0,2.0,1,5.0,1,0,2.0,0,,0,10.0,,5,1,1,0,0,0,3,9,1,0,0
412,0,0,1,2,1,3,6,0,1,0,0,1,1,0,0,0,0,0,3,1,,,,,1,1,2.0,2.0,4,2.0,1,1,2.0,0,,0,8.0,,0,0,1,0,0,1,2,5,0,0,1
413,0,0,1,1,2,4,8,0,1,0,0,1,1,1,1,0,0,0,4,1,,,,,1,1,2.0,2.0,1,2.0,1,0,2.0,0,,1,,4.0,5,0,1,0,0,0,5,4,0,0,0
414,0,0,1,1,2,3,6,1,1,0,1,1,1,1,0,1,0,0,5,1,,,,,1,1,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,8,0,1,0,0,6,0,1,1,1,0
415,0,2,1,2,2,4,9,0,0,1,0,1,1,1,1,0,0,0,3,1,,,,,0,1,2.0,2.0,4,1.0,1,1,2.0,0,,0,8.0,,8,1,2,0,0,6,2,11,1,0,0
416,0,0,1,2,2,3,8,0,1,1,1,1,1,1,1,1,0,0,5,1,,,,,1,3,2.0,2.0,2,2.0,1,1,2.0,0,,0,10.0,,8,0,1,0,0,1,1,3,1,1,1
417,0,0,1,2,1,7,20,0,1,0,0,1,1,1,1,0,0,0,3,1,,,,,1,2,2.0,2.0,4,1.0,1,1,2.0,0,,1,,1.0,0,0,1,0,0,1,2,11,0,0,1
418,0,4,1,2,1,3,7,1,1,0,0,1,1,1,0,0,0,0,4,1,,,,,0,3,2.0,3.0,1,2.0,1,0,2.0,0,,1,,1.0,0,1,2,0,2,1,4,0,0,0,1
419,0,0,1,1,2,3,5,1,1,0,1,1,1,1,1,0,0,0,6,1,,,,,4,2,2.0,3.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,1,6,0,0,1
421,0,0,1,2,1,4,6,1,1,0,0,1,1,1,0,1,0,0,4,1,,,,,1,3,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,5,0,1,0,0,0,3,10,0,0,0
425,0,0,1,1,1,3,6,1,1,0,0,1,1,1,0,1,0,0,4,1,,,,,1,3,2.0,2.0,2,2.0,1,0,0.0,1,1.0,0,10.0,,0,0,1,0,0,4,1,5,0,0,4
427,0,0,1,2,1,3,18,0,1,0,0,1,1,1,1,0,0,0,3,1,,,,,1,2,2.0,2.0,2,2.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,4,10,0,0,1
430,0,4,1,1,1,2,1,1,1,0,0,1,1,0,0,0,0,0,5,1,,,,,2,1,1.0,1.0,1,2.0,1,0,2.0,0,,1,,1.0,0,0,0,1,0,4,4,8,0,0,4
463,0,0,1,1,2,4,6,0,1,1,0,1,1,1,1,1,0,1,4,1,,,,,1,2,2.0,2.0,4,3.0,1,0,2.0,0,,1,,1.0,5,0,1,0,0,4,1,8,0,0,4
464,0,0,1,1,1,1,5,0,1,0,1,1,1,0,1,1,1,1,3,1,,,,,1,3,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,8,0,1,0,0,4,2,1,0,1,4
465,0,0,1,2,3,8,11,0,1,1,1,1,1,1,1,1,4,1,7,1,,,,,3,2,2.0,2.0,2,1.0,1,0,2.0,0,,0,12.0,,5,0,1,0,0,1,0,11,1,0,0
466,0,0,1,2,1,3,6,1,1,0,1,1,1,1,1,1,4,1,3,1,,,,,1,1,2.0,3.0,2,2.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,5,2,0,0,1
467,0,0,1,1,2,3,5,0,0,0,0,1,1,0,1,0,0,1,4,1,,,,,1,1,2.0,2.0,1,5.0,1,0,0.0,1,1.0,0,10.0,,0,1,2,0,0,1,4,4,0,0,1
468,0,0,1,1,1,2,2,0,1,0,0,1,1,1,1,0,0,4,4,1,,,,,1,1,2.0,2.0,1,5.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,2,10,0,0,1
469,0,0,1,1,2,4,8,1,1,0,0,1,0,0,1,1,0,1,5,1,,,,,1,4,2.0,2.0,3,2.0,1,0,2.0,0,,1,,4.0,0,0,1,0,0,1,0,1,0,0,1
470,0,0,1,1,1,2,4,1,1,0,0,1,1,1,1,1,0,1,3,1,,,,,1,1,2.0,3.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,1,3,2,1,0,1
471,0,0,1,1,2,4,9,0,1,0,0,1,1,1,0,1,1,1,5,1,,,,,1,3,2.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,8,0,4,0,0,0,3,6,0,0,0
472,0,0,1,1,1,2,4,0,1,0,0,1,1,0,0,0,1,1,6,1,,,,,1,3,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,4,3,6,0,0,4
473,0,0,1,1,1,4,4,0,1,0,0,1,1,0,1,0,0,1,3,1,,,,,0,1,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,5,0,1,0,0,1,1,2,1,1,1
478,0,2,1,1,1,2,2,1,1,0,0,1,0,0,1,1,0,1,4,1,,,,,0,2,2.0,3.0,1,5.0,1,0,2.0,0,,1,,4.0,8,0,1,0,0,6,2,0,0,0,1
479,0,0,1,1,1,2,3,0,1,0,0,1,1,1,1,0,1,4,4,1,,,,,1,2,2.0,2.0,1,5.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,1,4,2,0,0,1
480,0,0,1,1,1,2,2,0,0,0,0,1,0,0,0,0,1,1,4,1,,,,,1,1,2.0,2.0,1,0.0,1,0,2.0,0,,0,10.0,,0,0,2,0,0,10,3,10,0,0,0
539,0,0,1,2,2,3,5,1,1,1,0,1,1,1,1,1,0,0,5,1,,,,,2,5,1.0,3.0,2,1.0,1,0,2.0,0,,1,,1.0,5,0,2,0,0,0,2,2,0,0,4
540,0,0,1,2,1,2,4,1,1,0,0,1,1,0,1,0,0,0,3,1,,,,,1,1,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,7,1,2,0,1,0,4,1,1,0,1
541,0,4,1,2,1,1,2,0,1,0,0,1,1,1,0,0,0,0,4,1,,,,,0,5,3.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,5,0,1,0,0,4,1,0,0,0,4
542,0,2,1,2,3,5,10,1,1,0,1,1,1,1,1,1,0,0,5,1,,,,,2,1,1.0,3.0,3,2.0,1,1,2.0,0,,1,,1.0,8,0,1,0,0,0,1,6,0,0,4
543,0,0,1,1,2,4,8,1,1,0,0,1,1,1,1,0,0,0,6,1,,,,,1,4,2.0,3.0,1,2.0,1,0,2.0,0,,0,10.0,,5,0,1,0,0,0,5,3,1,0,4
544,0,0,1,1,2,2,3,0,1,0,0,1,1,0,1,0,1,1,3,1,,,,,1,1,2.0,2.0,2,1.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,0,3,6,0,0,0
545,0,0,1,1,2,3,3,1,1,0,0,1,1,0,1,1,0,1,5,1,,,,,2,2,1.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,0,1,3,0,0,0,4,4,0,0,0
546,0,0,1,2,2,4,7,1,1,0,0,1,1,1,1,0,0,0,5,1,,,,,1,3,2.0,2.0,1,5.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,4,7,0,0,4
548,0,1,1,1,2,4,6,0,1,0,0,1,1,1,1,0,0,0,8,1,,,,,0,1,1.0,2.0,1,0.0,1,0,2.0,0,,1,,3.0,5,0,1,0,0,10,1,5,1,0,0
549,0,0,1,1,1,4,8,0,1,0,0,1,1,1,1,1,0,0,4,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,5,0,1,0,0,0,3,2,0,0,0
550,0,0,1,2,1,4,10,1,1,1,0,1,1,1,1,1,0,0,3,1,,,,,1,1,2.0,2.0,4,3.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,0,5,3,0,0,0
553,0,0,1,1,2,3,6,1,1,1,1,1,1,1,1,1,0,0,5,1,,,,,1,2,2.0,2.0,4,1.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,4,3,7,1,0,4
554,0,0,1,1,2,3,5,1,1,0,0,1,1,1,0,0,0,0,6,1,,,,,1,3,2.0,2.0,1,5.0,1,0,2.0,0,,1,,1.0,5,0,1,0,0,0,4,9,0,0,4
555,0,0,1,1,2,4,6,0,1,1,0,1,1,1,1,1,0,0,5,1,,,,,0,3,2.0,2.0,2,1.0,1,0,2.0,0,,0,10.0,,5,0,1,0,0,0,1,11,0,0,4
556,0,4,1,1,1,3,6,1,1,0,0,1,1,1,0,1,0,0,6,1,,,,,2,1,1.0,2.0,2,2.0,1,0,2.0,0,,1,,1.0,0,2,1,2,1,0,5,1,0,0,4
557,0,0,1,1,1,3,3,1,1,0,0,1,1,0,0,0,0,0,3,1,,,,,1,2,2.0,2.0,1,2.0,1,0,0.0,0,,1,,1.0,0,0,1,0,0,0,1,8,0,0,0
558,0,0,1,1,1,2,4,1,1,1,1,1,1,1,1,1,0,0,4,1,,,,,1,3,2.0,2.0,1,2.0,1,0,2.0,0,,1,,4.0,5,0,1,0,0,4,1,10,0,0,4
559,0,0,2,2,2,4,7,0,1,1,1,1,1,1,0,1,0,0,3,1,,,,,1,4,2.0,2.0,1,1.0,1,0,2.0,0,,0,10.0,,5,1,2,0,0,0,3,3,0,0,0
586,0,0,1,2,1,2,8,1,1,0,0,1,1,1,1,1,0,0,4,1,,,,,1,4,2.0,,1,5.0,1,0,,0,,1,,2.0,0,0,2,0,0,1,1,0,1,0,1
587,0,0,1,1,1,2,5,0,1,0,0,1,1,0,1,0,0,0,3,1,,,,,1,1,2.0,2.0,1,2.0,1,0,2.0,0,,1,,4.0,5,0,1,0,0,4,2,5,0,0,4
591,0,0,1,2,1,2,5,0,1,0,1,1,1,1,1,1,0,1,3,1,,,,,1,1,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,1,1,0,0,0,3,1,1,1,4
592,0,0,1,1,1,2,7,0,1,0,1,1,1,1,0,1,0,0,4,1,,,,,1,4,2.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,0,1,2,0,0,0,4,10,0,0,0
593,0,2,1,2,3,3,5,0,1,0,0,1,1,1,1,1,0,1,6,1,,,,,2,2,1.0,2.0,2,0.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,4,9,0,0,1
597,0,0,2,2,1,3,5,0,1,0,1,1,1,1,0,1,0,0,4,1,,,,,1,3,2.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,8,0,1,0,0,0,2,4,0,0,0
598,0,0,2,2,3,4,6,0,1,1,1,1,1,1,1,1,0,0,6,1,,,,,1,3,3.0,3.0,1,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,2,2,0,0,1
599,0,0,2,1,2,3,4,1,1,1,0,1,1,1,1,1,0,0,5,1,,,,,1,3,3.0,3.0,2,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,3,3,1,1,1
600,0,4,2,2,1,2,4,0,1,0,0,1,1,1,0,1,0,0,2,1,,,,,0,1,2.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,2,2,1,1,1
601,0,0,2,1,2,3,6,1,1,1,1,1,1,1,1,1,0,0,4,1,,,,,1,3,2.0,2.0,3,2.0,1,0,2.0,0,,1,,4.0,0,0,1,0,0,1,3,5,1,1,1
702,0,0,2,1,2,4,6,1,1,1,1,1,1,0,0,1,0,0,5,1,,,,,1,3,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,2,0,0,0,0,9,0,0,0
703,0,2,1,2,2,3,5,1,1,0,0,1,1,1,0,1,0,0,4,1,,,,,2,1,1.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,5,3,0,1,1
704,0,0,1,1,1,3,7,0,0,1,0,1,1,0,0,1,0,0,3,1,,,,,1,1,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,1,6,0,0,1
705,0,0,1,1,2,3,8,0,1,0,0,1,1,1,0,0,0,0,4,1,,,,,1,5,2.0,3.0,1,2.0,1,0,0.0,0,,0,10.0,,8,0,1,0,0,1,3,4,1,1,1
706,0,2,2,1,2,3,8,0,1,1,0,1,1,1,1,1,0,0,5,1,,,,,2,1,1.0,1.0,2,2.0,1,0,2.0,0,,0,7.0,,8,0,1,0,0,0,3,10,0,0,1
707,0,0,2,1,2,3,8,0,1,1,1,1,1,1,0,1,0,0,4,1,,,,,1,1,2.0,2.0,2,0.0,1,0,2.0,0,,1,,1.0,0,1,2,0,0,0,1,9,0,1,4
708,0,0,2,2,3,5,8,0,1,0,0,1,1,1,1,1,0,0,5,1,,,,,3,1,2.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,8,0,1,0,0,1,1,8,1,0,1
709,0,0,2,2,1,4,8,1,1,0,0,1,1,1,0,1,0,0,7,1,,,,,1,1,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,8,2,2,0,1,6,2,0,0,0,1
710,0,0,2,2,2,4,8,1,1,0,0,1,1,1,0,0,0,0,4,1,,,,,1,3,2.0,2.0,2,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,1,9,1,1,1
711,0,0,1,2,1,5,10,1,1,0,0,1,1,0,0,0,0,0,6,1,,,,,1,2,3.0,3.0,1,2.0,1,0,2.0,0,,1,,1.0,0,1,2,0,0,4,3,0,0,1,4
712,0,0,1,2,2,3,7,1,1,1,1,1,1,1,1,1,0,0,4,1,,,,,1,4,2.0,2.0,1,5.0,1,0,0.0,0,,0,1.0,4.0,0,0,1,0,0,1,1,0,0,0,1
