,CVE_ENT,SITUACION_CONYUGAL,PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES,BIENES_DE_VIVIENDA,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRADO_ESCOLAR,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,VERIF_SITUACION_PAREJA,ENTREVISTADA_TRABAJA,PAREJA_TRABAJA,PAREJA_GANANCIAS,PAREJA_GANANCIAS_FRECUENCIA,PAREJA_APORTA_PARA_GASTO,PAREJA_CUANTO_APORTA_GASTO,LIBERTAD_USAR_DINERO,FUENTES_DE_DINERO,PROPIEDADES_DEL_HOGAR,NUM_EMBARAZOS,NACIO_VIV,NACIO_MUERT,ABORTO,ANIO_PARTO,MES_PARTO,DONDE_ATENDIO_PARTO,P10_8_abuso,P10_8_atencion,SERVICIOS_MEDICOS_AFILIADA,DONDE_CONSULTAS_PRENATALES
CVE_ENT,,0.012666907253698966,0.2247203175748827,0.10811981234211474,0.29718513172140015,1.644791180586671,0.07437748105377122,0.14265608083724288,0.39220498015156985,0.016420064958498747,0.0012630819198845566,0.1088776614940455,0.3346806207145435,0.12115627822944894,0.10974490732244449,0.1626488632262721,0.18224467701190905,0.001299169974738401,0.025261638397690377,0.17753054896954223,0.018621436304583173,0.17936599423631122,0.13334536268495129,0.0010670731707316916,3.4891398214703773e+36,0.21048346055979641,0.005144072713208292,225.38061927804375,0.15250811981234208,0.09271021291952364,0.3830386142186936,0.02811259473114398,0.04276434500180439,0.02046192710212922,0.022879826777336732,0.4974016600505233,0.41028509563334536,0.10028870443883078,0.14604835799350416,0.13399494767232045,0.19188018765788523,0.18047636232407072
SITUACION_CONYUGAL,0.001696138578130646,,0.0002887044388307558,0.0,0.029520028870443894,0.02982327773539841,0.0,0.00036088054853844476,0.03756766510285099,0.0,0.0,0.17892457596535552,0.019487549621075417,0.01972899728997286,0.0,0.0,0.0020931071815228687,0.0,0.004258390472753537,0.00010942914462888086,0.0,0.030240153698366946,0.021219776254059908,0.044893292682926855,3.839539423256712e+34,0.001984732824427504,0.06254109456584803,0.0,0.008552869000360919,0.005665824612053383,0.095164200649585,0.0,0.0002887044388307558,0.0,0.0009022013713461119,0.09902562251894627,0.00021652832912306686,0.0,0.03330927463009743,0.0,0.0,0.0
PISOS,0.0408516780945507,0.0011548177553229344,,0.0,0.0010826416456153343,0.028470604339659887,0.014723926380368102,0.0010465535907614898,0.005701912666907227,0.0,0.00032479249368460027,0.005629736557199627,0.0,0.011526648599819288,0.0,0.0,0.0,0.0,0.0005052327679538227,-3.647638154291588e-05,0.0,0.001114313160422653,0.0,0.0,1.4669585517959866e+34,0.00010178117048345036,7.735447689034558e-05,-605.3021447955427,7.217610970768895e-05,0.0,0.012991699747383633,0.0,0.0,0.0,0.0,0.01551786358715268,0.0,0.0,0.016600505232767925,0.0,0.0,0.0010104655359076454
CUARTOS_DORMIR,0.0011187297004691787,-0.00021652832912311126,0.0,,0.33168531216167446,0.03207920902372172,0.00025261638397691135,0.0,0.1381811620353663,0.002887044388307447,0.0,0.040562973655719994,0.010357271743053075,0.01788617886178858,0.00044044778858507436,0.00032479249368460027,0.0,0.0002887044388307558,0.0,0.00018238190771477925,0.0,0.0009221902017291006,0.0,0.0,1.1871758823513772e+35,0.0,0.0013923805840263316,1.0000821202993392e-05,0.0,0.0,0.02702995308552871,3.608805485384447e-05,0.0,0.0001443522194153779,0.0,0.053951642006495895,0.0,0.00018044027426922238,0.013244316131360501,7.217610970768895e-05,0.00039696860339228924,0.0
CUARTOS_TOTAL,0.0383616023096355,0.0015156983038614013,0.0030313966077228248,0.3118729700469144,,1.1852658616401779,0.0035366293756766477,0.0018044027426922017,0.021291952363767595,0.002598339949476691,0.0007217610970768895,0.03172140021652836,0.011692529772645278,0.035338753387533825,0.0005138557533492571,0.00025261638397691135,0.0016600505232768237,0.00010826416456153343,0.0027426921688920693,0.011161772752143029,0.0006134969325153561,0.004380403458213245,0.00043305665824613373,0.0,2.3398124265343386e+35,0.0014758269720101414,0.0003867723844517279,1.3756827684119343e-06,0.00018044027426922238,0.0024539877300613576,0.0786358715265247,3.608805485384447e-05,0.0009743774810538009,0.0005413208228076671,0.0013352580295922455,0.11176470588235296,0.004041862143630471,0.003464453265968959,0.0345362684951281,0.0010826416456153343,0.0021652832912305575,0.0011548177553230231
FOCOS,0.008877661494045497,0.010068567304222254,0.06921688920967159,0.01577047997112955,0.20043305665824612,,0.04092385420425839,3.608805485384447e-05,0.08549260194875499,0.0006134969325153561,0.0013713460844460902,0.03828942619992788,0.015914832190544948,0.06594399277326105,7.340796476418276e-05,0.005557560447491894,0.0030313966077228248,0.002020931071815202,0.001443522194153779,0.0014955316432610165,0.002814868278599758,0.004649375600384231,0.0047636232407073376,0.00011432926829271217,1.3301833413381776e+35,0.0008142493638676918,0.00046412686134209567,-95.87449150460597,0.00036088054853844476,0.0018765788523998684,0.1710573800072176,0.00046914471309997816,0.00010826416456153343,0.0010465535907614898,0.00010826416456153343,0.19826777336701554,0.0008661133164922675,0.0002887044388307558,0.05218332731865751,0.0005052327679538227,0.0017322266329844905,0.00710934680620714
AGUA,0.01494045470949117,0.001984843016961335,0.008877661494045475,0.0,0.00039696860339228924,0.030790576834675898,,0.030674846625766895,0.0038253338145074036,0.0,0.00036088054853844476,0.007939372067845563,0.0,0.008599819331526625,0.0,0.0,0.0,0.0,0.0,0.000510669341601333,0.0,0.0008069164265129602,0.0,0.0,3.056208168284962e+32,0.0,0.00011603171533551837,2.0110746845602988e-09,0.0,0.0,0.010104655359076143,0.00021652832912306686,0.0,0.0,0.0,0.04568747744496575,0.0,0.00036088054853844476,0.00920245398773003,0.0,0.0,0.0001443522194153779
DRENAJE,0.09274630097437749,-0.00010826416456157783,0.00032479249368460027,0.0,0.0,0.0071996044068215245,0.02306026705160593,,0.003247924936845892,0.0,0.0,0.00025261638397691135,0.0,0.0024932249322493273,0.0,0.0,0.00018044027426922238,0.0,0.0,7.295276308592059e-05,0.0,0.00034582132564842105,0.0,0.0,1.0784125156761162e+34,0.0,0.0,0.0,0.0,0.0,0.02601948754962109,0.0,0.0,0.0,0.0,0.014146517502706657,0.0,0.0,0.006820642367376384,0.0,0.0,0.0
NUM_RESIDENTES,0.005918440996030294,0.00624323348971485,0.016131360519668014,0.1588957055214724,0.016780945507037126,0.531868668519993,0.0010465535907614898,0.004258390472753537,,0.042475640562973635,0.0007578491519307339,0.1006495849873692,0.04352219415373511,0.06518518518518515,0.026610387227014122,0.02114760014435222,0.010357271743053032,0.0,0.0015517863587153125,0.0033193507204085427,0.0005052327679538227,0.004764649375600371,0.0014074341392999346,0.0,3.3088121132463087e+35,0.0017302798982188118,0.00042544962289690067,2.1687737898901105e-06,0.005341032118368827,0.010104655359076143,0.04529050884157344,0.012522555034283678,0.053915553951642006,0.0006856730422230451,0.00039696860339228924,0.12674124864669795,0.0013352580295922455,0.0011909058101768678,0.029339588596174648,0.0016600505232768014,0.0020931071815228908,0.006279321544568739
NUM_HOGARES,0.00018044027426922238,0.00036088054853842253,0.00018044027426922238,0.0,0.0005413208228076671,0.00025368901885749475,0.0,0.0,0.010790328401299166,,0.0,0.022049801515698332,0.002273547455792091,0.008202348690153526,0.005322077445402806,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004995196926032896,0.0,0.0,6.529102992075929e+32,0.0,0.0,0.0,0.0,0.0,0.011656441717791432,0.0,0.0,0.0,0.0,0.015301335258029614,0.0,0.0,0.005485384337784183,0.0,0.0,0.0
