,CVE_ENT,SITUACION_CONYUGAL,PISOS,CUARTOS_DORMIR,CUARTOS_TOTAL,FOCOS,AGUA,DRENAJE,NUM_RESIDENTES,NUM_HOGARES
CVE_ENT,,0.07702557489791528,0.14751773049645392,0.07840103159252095,0.1750268643885665,12358018907.463793,0.23675048355899414,0.28269933376316353,0.14192993767461853,0.007049215559853872
SITUACION_CONYUGAL,0.0007307113690092626,,4.2983021706421984e-05,0.0,0.0,2561363035.90294,0.0,0.0,0.014356329249946297,0.0
PISOS,0.0018052869116699012,0.003438641736514003,,0.0,0.0,256631972.56637532,0.00021491510853210993,0.00038684719535779787,0.00017193208682568794,0.0
CUARTOS_DORMIR,0.00042983021706430866,0.00459918332258753,0.0,,0.4085966043412852,26209433.352019016,0.0,0.00012894906511926597,0.16299161831076728,0.004255319148936199
CUARTOS_TOTAL,0.012078229099505733,0.023081882656350694,0.0010315925209542387,0.3504405759724908,,226098377.8726104,0.004255319148936176,0.0032667096496883596,0.00017193208682568794,0.0014614227380184807
FOCOS,0.008553621319578774,0.023468729851708513,0.04732430689877498,0.006748334407908896,0.24345583494519665,,0.010315925209542231,0.01839673329035032,0.0007736943907156845,0.00025789813023853193
AGUA,0.028970556630131105,0.007350096711798782,0.025746830002149147,0.0,0.0008166774124221066,4142541763.125455,,0.07457554266064903,0.0,0.0
DRENAJE,0.10174081237911028,0.005759724908661013,0.0007736943907157068,0.0,0.0003008811519449761,47447428.896405585,0.07423167848699763,,0.0,0.0
NUM_RESIDENTES,0.008553621319578774,0.02269503546099285,0.0011605415860735046,0.19449817322157748,0.0011605415860735046,573980464.1008377,0.005630775843541813,0.0005157962604771082,,0.027681065978938334
NUM_HOGARES,0.0,-0.002106168063614966,0.0,0.00021491510853210993,0.0,611885.2295661134,0.0,0.0,0.006748334407908873,
ESTRATO,0.09327315710294437,0.003438641736514025,0.010530840318074363,0.0,0.0,115906960.9814612,0.010788738448312896,0.05579196217494094,0.0,0.0
BIENES_DE_VIVIENDA,0.02312486567805718,0.027423167848699713,0.037266279819471324,0.0014614227380184807,0.005200945626477571,3370644571.3643413,0.020674833440790887,0.009800128949065123,0.00266494734579843,0.0
PAREN,0.0006017623038900189,0.08772834730281535,0.0,0.00756501182033098,0.0,1081833814.7603478,0.0,0.0,0.0665377176015474,0.04947345798409628
EDAD,0.0029228454760369836,0.016591446378680375,0.0012894906511927927,0.0029658284977434057,0.0014184397163120367,1620965062.9910054,0.0028798624543305397,0.0026649473457984072,0.07930367504835589,0.013668600902643458
RES_MADRE,0.00017193208682571016,0.0061035890823124325,0.0,0.0,0.0,89312625.0263733,0.0,0.0,0.0,0.0006877283473028406
RES_PADRE,0.00047281323877073066,0.0033956587148075814,0.0,0.0,0.0,29384536.07864678,0.0,0.0,0.0012894906511927706,0.0011175585643670826
ESCOLARIDAD,0.003352675693101226,0.010143993122716433,0.0,0.0,0.0,223479787.79874903,0.0,0.0,0.0009886094992478168,4.2983021706421984e-05
GRADO_ESCOLAR,0.002965828497743428,0.013281753707285548,0.0003868471953578201,8.596604341284397e-05,0.00042983021706426426,1013945484.1436704,0.0003868471953578201,0.0005587792821835525,0.00378250591016549,0.0
ALFABETISMO,8.596604341284397e-05,0.004556200300881064,0.0,0.0,0.0,674256973.8326628,0.0,0.00021491510853210993,0.00021491510853210993,0.0
ASISTENCIA_ESC,0.0,8.596604341279957e-05,0.0,0.0,0.0,4117368.580952973,0.0,0.0,0.0,0.0
PERT_INDIGENA,0.08080808080808081,0.0008166774124220178,0.0,0.0,0.0,297377602.10560685,0.00030088115194495393,0.0,0.0,0.0
LENG_INDIGENA,0.015817751987964777,0.004255319148936132,0.0015903718031377244,0.0,0.0,1762905.3760465938,0.0,0.0007736943907157068,0.0,0.0
